Date,HFI,CA,EM,EMN,ED,EDD,EDM,EDRA,FIA,GM,LE,MF,M,rf,SP500,MSCI_WORLD,Corp3y,Corp10y,spread_mat,Mom,high_yield,inv_grade,default_spread
2015-01-31,0.0081,-0.0021,0.0066,-0.0037,-0.01,-0.0105,-0.0099,-0.0085,-0.0081,0.0269,0.0028,0.0602,0.0119,0.0002,-0.0310417664569867,-0.0061542564500021105,0.015052380952380953,0.03877619047619048,0.023723809523809525,3.84,0.10436666666666666,0.023319047619047618,0.08104761904761905
2015-02-28,0.0106,0.0095,-0.0004,-0.019,0.0225,0.0123,0.0267,0.015,0.0074,0.0042,0.0199,-0.0115,0.0072,0.0002,0.054893916586230704,0.0571746248025188,0.014663636363636363,0.03952272727272727,0.024859090909090907,-2.82,0.10325454545454545,0.025231818181818185,0.07802272727272726
2015-03-31,0.006,-0.0027,0.0074,-0.0021,0.0036,0.0009,0.0048,0.0004,-0.0008,0.013,-0.0042,0.024,0.0105,0.0003,-0.017398884310388,-0.006760186540836321,0.013657142857142857,0.03851904761904762,0.024861904761904762,2.74,0.1032904761904762,0.02396190476190476,0.07932857142857144
2015-04-30,0.0002,0.0273,0.0336,-0.0044,0.0085,0.0057,0.0096,0.0081,0.0063,-0.0075,-0.0002,-0.0429,0.0001,0.0001,0.00852387508934704,0.00857686895326836,0.014485714285714286,0.04110476190476191,0.026619047619047622,-7.27,0.10539523809523808,0.026247619047619047,0.07914761904761904
2015-05-31,0.0083,0.0052,0.0037,0.01,0.0085,0.0031,0.0104,0.0106,0.0048,0.0071,0.0215,-0.0084,0.0065,0.0001,0.0104894662391399,0.009713367506663621,0.016027272727272727,0.043072727272727276,0.02704545454545455,5.82,0.1109090909090909,0.028277272727272727,0.08263181818181817
2015-06-30,-0.0131,-0.0075,-0.0225,0.0155,-0.0124,-0.0122,-0.0125,-0.0017,-0.0021,-0.0176,-0.0046,-0.0581,-0.0042,0.0001,-0.0210107075531855,-0.030711016604057,0.01651304347826087,0.043891304347826086,0.027378260869565216,3.01,0.12100434782608696,0.028226086956521734,0.09277826086956523
2015-07-31,0.0087,-0.0104,-0.0201,0.0056,0.0018,-0.0074,0.0053,-0.0076,0.003,0.0126,0.0152,0.0433,0.01,0.0008,0.019738887770081398,0.0242634065370961,0.017647619047619047,0.043552380952380954,0.025904761904761906,9.98,0.132,0.02778571428571429,0.10421428571428572
2015-08-31,-0.0199,-0.0024,-0.0286,0.0095,-0.0281,-0.0144,-0.0332,-0.0067,-0.0004,-0.0263,-0.0191,-0.0276,-0.0049,0.0008,-0.06257651078964681,-0.0684281842571797,0.018095454545454547,0.04435454545454545,0.026259090909090906,-2.09,0.13138181818181818,0.027622727272727278,0.10375909090909091
2015-09-30,-0.0141,-0.0025,-0.008,0.0062,-0.0344,-0.0137,-0.0422,-0.0131,-0.0045,-0.0157,-0.0112,0.0287,-0.0043,-0.0001,-0.026446882672693302,-0.03720475705338,0.017556521739130436,0.0430304347826087,0.025473913043478263,5.22,0.13972173913043479,0.026356521739130435,0.11336521739130435
2015-10-31,0.0053,0.0094,0.0275,-0.0059,0.0014,-0.003,0.0031,-0.0001,-0.002,0.0129,0.0172,-0.0248,0.0007,0.0008,0.0829849387714976,0.0778079907584108,0.019085714285714286,0.04444761904761905,0.025361904761904763,-3.28,0.14695714285714284,0.027828571428571428,0.11912857142857142
