Date,HFI,CA,EM,EMN,ED,EDD,EDM,EDRA,FIA,GM,LE,MF,M,SP500,spread_mat,Mom,default_spread
1999-01-31,0.008,0.0227,-0.0292,0.0069,0.0188,0.0222,0.0178,-0.0151,0.019,-0.0288,0.0497,-0.0314,0.0163,0.0410094123963782,0.006876190476190466,3.03,0.12478095238095237
1999-02-28,-0.0131,0.0122,0.0117,0.0061,-0.0005,0.0007,-0.0006,-0.0137,0.0152,-0.016,-0.0314,-0.0054,0.0126,-0.0322825169578945,0.007921739130434785,-0.1,0.1309608695652174
1999-03-31,0.0122,0.0104,0.0743,0.0135,0.0239,0.0289,0.0181,0.0256,0.0134,-0.02,0.0376,-0.0107,0.0022,0.038794182487705095,0.008731818181818188,-1.27,0.13915454545454542
1999-04-30,0.0263,0.0214,0.0649,0.0202,0.0307,0.0314,0.0297,0.0339,0.0163,0.0179,0.0329,0.0267,0.0029,0.037943981902563005,0.009357142857142862,-9.04,0.1241142857142857
1999-05-31,0.0013,0.0189,-0.0123,0.0144,0.0217,0.0243,0.0186,0.0247,0.0088,-0.0005,-0.0082,-0.0293,0.0038,-0.0249704159738762,0.009459090909090903,-5.19,0.11824545454545451
1999-06-30,0.0328,0.0081,0.049,0.0192,0.0293,0.0249,0.0357,0.0122,0.0075,0.0302,0.0465,0.0276,-0.0205,0.054438333435752495,0.00906521739130435,5.06,0.11451739130434783
1999-07-31,0.0026,0.0109,-0.0155,0.0166,0.0132,0.0196,0.0067,0.0016,0.0049,-0.0191,0.0154,-0.0072,0.0101,-0.0320460985932935,0.007731818181818187,1.66,0.10845
1999-08-31,-0.009,0.0023,-0.0266,0.0111,0.0011,0.0019,-0.0005,0.008,-0.0041,-0.0285,-0.0027,-0.0032,0.0099,-0.0062541393220543195,0.0076818181818181785,3.12,0.11633181818181823
1999-09-30,-0.0032,0.0139,-0.0065,0.0022,0.0104,0.0173,0.0011,0.0216,0.0074,-0.0318,0.006,0.0181,0.0004,-0.0285517377178301,0.007836363636363627,6.47,0.11444999999999994
1999-10-31,0.0237,0.007,0.0366,0.0082,0.0035,-0.003,0.0096,0.0175,0.0091,0.0244,0.0439,-0.0482,0.0009,0.0625394672217414,0.006822727272727286,5.5,0.12917272727272727
1999-11-30,0.0496,0.013,0.0929,0.0156,0.0204,0.0155,0.0273,0.0052,0.0078,0.044,0.0831,-0.0052,0.0271,0.0190618740507582,0.006578260869565214,5.64,0.12767826086956524
1999-12-31,0.0853,0.009,0.1534,0.0096,0.0309,0.019,0.0466,0.0047,0.0097,0.0924,0.1301,0.0235,0.0251,0.0578439207724041,0.007133333333333325,13.22,0.13172857142857142
2000-01-31,-0.001,0.0259,-0.0152,0.0142,0.0051,0.0042,0.0065,0.0015,0.0054,-0.0242,0.0052,0.0001,0.0195,-0.050903522205206594,0.004861904761904762,1.92,0.13013809523809525
2000-02-29,0.0649,0.0337,0.0604,0.0079,0.023,0.0049,0.0438,0.0352,0.0057,0.0443,0.1114,-0.021,0.0189,-0.0201081422199274,0.004704347826086974,18.2,0.13297391304347828
2000-03-31,-0.0212,0.0346,0.031,0.0224,0.006,0.0015,0.0118,0.0005,-0.0015,-0.0245,-0.0398,-0.0131,0.0215,0.0967198957860686,0.004075000000000009,-6.83,0.13215
2000-04-30,-0.0463,0.0357,-0.0776,0.0144,-0.0073,-0.0132,-0.0049,0.0181,0.0093,-0.0535,-0.0746,-0.0228,0.0092,-0.0307958200429738,0.005513043478260857,-8.39,0.13255217391304347
2000-05-31,-0.0117,0.0194,-0.0413,0.0146,0.0002,0.0,-0.0003,0.0068,0.0002,0.0232,-0.0345,0.0058,0.0087,-0.021914997624670498,0.004818181818181819,-8.98,0.1512863636363636
2000-06-30,0.0366,0.0197,0.0553,0.0182,0.0194,0.0202,0.0192,0.0143,0.0093,0.0132,0.0613,-0.0112,0.0213,0.0239335492045613,0.00511904761904762,16.6,0.14471428571428568
2000-07-31,0.0011,0.0146,0.0058,0.0123,0.005,-0.0024,0.0097,0.0158,0.0055,0.0181,-0.0063,-0.0205,-0.0029,-0.0163412622026674,0.0044260869565217464,-0.05,0.15293913043478258
2000-08-31,0.0339,0.0169,0.0432,0.0143,0.0171,0.0177,0.0169,0.0157,0.0067,0.0292,0.049,0.0123,0.0064,0.0606990348259401,0.006531818181818194,5.73,0.15386818181818182
2000-09-30,-0.0041,0.0202,-0.0679,-0.0014,0.0061,-0.0031,0.0129,0.0101,0.0075,-0.0087,-0.0071,-0.0334,0.0064,-0.053482947656950094,0.0054954545454545395,1.97,0.17235
2000-10-31,-0.0109,0.0109,-0.0247,0.0081,-0.0005,-0.0009,-0.0005,0.0035,0.0029,0.0126,-0.0254,0.0076,-0.0182,-0.00494949565265812,0.004268181818181824,-4.48,0.18752272727272723
2000-11-30,-0.0155,-0.0047,-0.0364,0.0028,-0.0077,-0.0106,-0.0068,0.0028,0.007,0.0363,-0.038,0.0668,0.0025,-0.08006856023506369,0.004300000000000012,-2.32,0.21848095238095236
2000-12-31,0.0266,0.0044,0.0232,0.0128,0.0042,0.0014,0.005,0.0139,0.0032,0.0505,0.0342,0.0776,0.0138,0.00405338606030647,0.008172727272727276,6.74,0.21530454545454547
2001-01-31,0.0094,0.0268,0.0435,0.0213,0.0246,0.0289,0.022,0.0191,0.0142,0.0332,-0.0058,-0.0003,0.0164,0.03463659223801,0.009985000000000015,-25.3,0.170205
2001-02-28,-0.0059,0.0212,-0.0289,0.0089,0.0159,0.0192,0.0134,0.0149,0.0053,0.0099,-0.0242,0.0015,0.0024,-0.0922906860125474,0.011373913043478269,12.57,0.17201739130434782
2001-03-31,-0.0034,0.0142,-0.0129,0.0092,0.0012,0.0138,-0.0085,0.0033,0.0024,0.0274,-0.0194,0.0488,0.0009,-0.0642047195832057,0.013859999999999997,8.55,0.20223
2001-04-30,0.0069,0.0122,-0.0052,0.0144,0.0093,0.0099,0.0093,0.005,0.0132,0.0069,0.0077,-0.0549,0.0129,0.0768143545370714,0.018378260869565212,-7.9,0.18359565217391305
2001-05-31,0.0083,0.0069,0.0239,0.0064,0.011,0.0242,0.0028,0.0131,0.0052,0.0214,0.004,0.0083,0.0061,0.0050901989659533,0.019277272727272733,2.21,0.19213636363636366
2001-06-30,0.0058,0.0013,0.0163,0.0029,0.0103,0.0265,0.0011,-0.0043,0.005,0.0103,0.0042,-0.0084,-0.0028,-0.0250035833160802,0.019599999999999992,0.38,0.20157727272727272
2001-07-31,-0.0002,0.0108,-0.0295,0.0022,0.0047,0.01,0.0014,0.0068,0.0091,0.0069,-0.0072,0.0015,0.0058,-0.010772447362832999,0.02058260869565217,5.58,0.19376086956521738
2001-08-31,0.0092,0.015,-0.0108,0.0101,0.0155,0.0125,0.0181,0.0101,0.0064,0.01,0.0045,0.0252,0.0093,-0.0641018633950611,0.024638888888888898,5.53,0.21611111111111111
2001-09-30,-0.0083,0.0074,-0.0438,-0.0005,-0.0154,-0.0079,-0.0188,-0.0265,0.0018,0.0117,-0.0157,0.0365,-0.0049,-0.0817297891058999,0.025991304347826087,11.48,0.23001739130434784
2001-10-31,0.0044,0.0111,0.0219,0.0072,0.0135,0.0235,0.009,-0.0001,0.0155,0.0118,-0.008,0.034,0.0065,0.018099025880454,0.025922727272727264,-8.47,0.21331363636363634
2001-11-30,0.0054,0.0071,0.0396,0.0082,0.0085,0.0076,0.0091,0.0081,-0.0027,-0.0037,0.011,-0.0862,0.0038,0.0751759799203608,0.027175000000000005,-8.69,0.21902000000000005
2001-12-31,0.0119,0.0032,0.0482,-0.0008,0.0107,0.0162,0.0078,0.0067,0.0023,0.0247,0.0124,0.0215,-0.0024,0.007573829479134539,0.02811363636363636,0.07,0.21798636363636362
